test,approach,tfft,totaltime,comp
30-0.02-1c,1c-1f,0.16,214.53,462
30-0.02-1c,1c-2f,0.13,123.32,462
30-0.02-1c,1c-5f,0.15,42.65,462
30-0.02-1c,1c-10f,0.18,28.16,462
30-0.02-1c,1c-20f,0.23,21.28,462
30-0.02-1c,1c-40f,0.3,18.8,462
30-0.02-1c,1c-100f,0.51,18.36,462
30-0.02-1c,1c-200f,0.76,18.91,462
30-0.02-1c,1c-500f,1.28,20.5,462
30-0.02-1c,1c-1000f,1.99,23.02,462
30-0.02-1c,1c-2000f,4.49,28.09,462
30-0.02-2c,2c-1f,0.1,207.33,462
30-0.02-2c,2c-2f,0.09,119.18,462
30-0.02-2c,2c-5f,0.04,43.29,462
30-0.02-2c,2c-10f,0.06,26.49,462
30-0.02-2c,2c-20f,0.06,20.53,462
30-0.02-2c,2c-40f,0.1,18.75,462
30-0.02-2c,2c-100f,0.2,18.17,462
30-0.02-2c,2c-200f,0.32,18.38,462
30-0.02-2c,2c-500f,0.55,19.68,462
30-0.02-2c,2c-1000f,0.78,21.34,462
30-0.02-2c,2c-2000f,1.09,24.74,462
30-0.02-4c,4c-1f,0.06,209.17,462
30-0.02-4c,4c-2f,0.06,120.16,462
30-0.02-4c,4c-5f,0.03,42.22,462
30-0.02-4c,4c-10f,0.03,25.27,462
30-0.02-4c,4c-20f,0.03,19.58,462
30-0.02-4c,4c-40f,0.03,17.56,462
30-0.02-4c,4c-100f,0.03,16.87,462
30-0.02-4c,4c-200f,0.04,16.74,462
30-0.02-4c,4c-500f,0.1,17.49,462
30-0.02-4c,4c-1000f,0.18,18.49,462
30-0.02-4c,4c-2000f,0.31,20.13,462
30-0.02-8c,8c-1f,0.05,209.6,462
30-0.02-8c,8c-2f,0.05,118.06,462
30-0.02-8c,8c-5f,0.03,41.42,462
30-0.02-8c,8c-10f,0.03,24.86,462
30-0.02-8c,8c-20f,0.03,19.21,462
30-0.02-8c,8c-40f,0.02,17.45,462
30-0.02-8c,8c-100f,0.02,17.07,462
30-0.02-8c,8c-200f,0.03,16.38,462
30-0.02-8c,8c-500f,0.04,16.62,462
30-0.02-8c,8c-1000f,0.07,16.93,462
30-0.02-8c,8c-2000f,0.16,17.22,462
30-0.02-16c,16c-1f,0.06,204.56,462
30-0.02-16c,16c-2f,0.05,118.5,462
30-0.02-16c,16c-5f,0.03,41.98,462
30-0.02-16c,16c-10f,0.03,25.25,462
30-0.02-16c,16c-20f,0.02,19.35,462
30-0.02-16c,16c-40f,0.03,17.32,462
30-0.02-16c,16c-100f,0.03,16.83,462
30-0.02-16c,16c-200f,0.03,16.58,462
30-0.02-16c,16c-500f,0.04,16.57,462
30-0.02-16c,16c-1000f,0.06,16.48,462
30-0.02-16c,16c-2000f,0.11,16.74,462
