test,approach,tfft,totaltime,mrt,comp
30-0.02-8c,8c-1f,0.02,20.08,2435653489,37959
30-0.02-8c,8c-2f,0.01,17.64,2162114746,37959
30-0.02-8c,8c-5f,0.0,11.73,2400567590,37959
30-0.02-8c,8c-10f,0.0,9.95,3542376737,37959
30-0.02-8c,8c-20f,0.0,9.42,4309048390,37959
30-0.02-8c,8c-40f,0.0,9.56,4384661022,37959
30-0.02-8c,8c-100f,0.0,8.54,3912616940,37959
30-0.02-8c,8c-200f,0.0,8.5,3774323136,37959
30-0.02-8c,8c-500f,0.0,9.6,4280113823,37959
30-0.02-8c,8c-1000f,0.01,9.02,4301666481,37959
30-0.02-8c,8c-2000f,0.01,10.11,5066493858,37959
